speaker,party,year,night,timestamp,speech,word_count,source,source_file,replaced_from_rev,replaced_from_cnn,appended_from_missing
Minyon Moore,Democratic,2024,1,00:00:31,"HELLO, EVERYONE! I AM THE PERMANENT CHAIR OF THE DEMOCRATIC NATIONAL COMMITTEE. IT IS A PLEASURE TO WELCOME YOU ALL TO MY HOMETOWN, CHICAGO. THIS CONVENTION IS A CELEBRATION OF OUR HARD WORK AND ACCOMPLISHMENTS AND OF THE AMERICAN SPIRIT THAT MAKES THIS PARTY AND OUR COUNTRY GREAT. THAT IS THE SPIRIT PRESIDENT BIDEN REIGNITED WHEN HE TOLD US WE WERE IN THE BATTLE FOR THE SOUL OF OUR NATION. THROUGHOUT HIS TERM, HE HAS BROUGHT US TOGETHER AND REVIVE OUR COUNTRY AND OUR COUNTRY'S SOUL. AND LAST MONTH, IN A TRUE ACT OF PATRIOTISM, HE PASSED THE TORCH TO THE NEXT GENERATION AS THE NEXT PRESIDENT OF THE UNITED STATES, KAMALA HARRIS! AS CONVENTION CHAIR I MAY APPOINT OFFICERS TO ASSIST IN THE CONDUCT -- IT IS MY HONOR TO ANNOUNCE THE FOLLOWING CONVENTION OFFICERS. ASSISTING AS COCHAIRS ARE LIEUTENANT GOVERNOR PEGGY FLANAGAN, MAYOR MITCH ANDREWS, SENATOR CORY BOOKER, AND CONGRESSWOMAN VANESSA ESCOBAR. OUR CONVENTION PARLIAMENTARIANS WILL BE FORMER HOUSE MAJORITY WHIP HOYER, RODRICK JOHNSON, AND DNC PARLIAMENTARIAN HELEN MCFADDEN. LIEUTENANT GOVERNOR GARLIN GILCHRIST, HARRIS COUNTY JUDGE LENA HEAD DOLL GO -- LENA HIDALGO AND CONGRESSMAN TED LIEU WILL SERVE AS SERGEANT OF ARMS. LEWIS TERREL WILL SERVE AS OUR BOOKKEEPER AND BARBARA LEE WILL SERVE AS OUR TIMEKEEPER. I WOULD NOW LIKE TO TURN IT OVER TO MY FRIEND, CHAIRMAN HARRIS.",223,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Jaime Harrison,Democratic,2024,1,00:03:04,"THANK YOU! HELLO, DEMOCRATS! THE DEMOCRATIC PARTY IS 196 YEARS OLD. IT IS THE OLDEST ACTIVE POLITICAL PARTY IN THE WORLD. EVERY PERSON HERE IS A PART OF A MOVEMENT THAT BRINGS AMERICA CLOSER TO OUR GOAL OF A MORE PERFECT UNION. AND EVERY CONVENTION IS A MOMENT, MOMENT THAT CONTRIBUTES -- IT IS MOMENTS LIKE 60 YEARS AGO WHEN THEY TOLD A SHOCKING STORY ABOUT A RAZOR'S BRUTALITY SHE SUFFERED SIMPLY FOR REGISTERING TO VOTE. 452 YEARS AGO WHEN SHIRLEY CHISHOLM WENT FOR THE PRESIDENTIAL NOMINATION. OR 40 YEARS AGO WHEN A BOY FROM SOUTH CAROLINA THIS SAVE -- THE SAME YOU HAVE HERE TODAY -- FOLKS, ALL OF THESE MOMENTS LEAD UP TO THIS TRANSFORMATIONAL MOMENT. WHEN A BLACK CONVENTION CHAIR AND A BLACK DNC CHAIR LEAD US IN NOMINATING A BLACK AND AARP WOMAN TO BE THE NEXT PRESIDENT OF THE UNITED STATES! FOLKS, THIS IS BECAUSE THE DEMOCRATIC PARTY IS AND ALWAYS WILL BE FOR THE PEOPLE FOR OUR FUTURE. WE ARE HONORED TO BE A PART OF AMERICAN HISTORY AS WE GAVEL IN THIS CONVENTION AND CELEBRATE THIS HISTORIC NOMINATION. I WOULD LIKE TO THANK THE INCREDIBLE WORKERS OF THIS YEAR'S CONVENTION, THE CONVENTION STAFF LED BY THE AMAZING ALEX AND OUR CONVENTION -- MY AMAZING STAFF AT THE D&C. YOU QUITE LITERALLY SET THE STAGE ROUSED TODAY AND WE WOULD NOT BE HERE WITHOUT ALL OF YOU. WE HEREBY CALL THE IN PERSON PORTION OF THE 49TH QUADRENNIAL DEMOCRATIC NATIONAL CONVENTION TO ORDER.",249,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Cardinal Blase Cupich,Democratic,2024,1,00:06:01,"LET US PRAY -- WE PRAISE YOU OH GOD OF ALL CREATION. QUICKEN IN US A RESOLVE TO PROTECT YOUR HANDIWORK. YOU ARE THE SOURCE OF EVERY BLESSING THAT GRACES OUR LIVES AND OUR NATION. WE PRAY THAT YOU HELP US TO TRULY UNDERSTAND AND ANSWER THE SACRED CALL OF CITIZENSHIP. WE ARE A NATION COMPOSED OF EVERY PEOPLE AND CULTURE, UNITED, NOT BY TIES OF BLOOD, BUT BY THE PROFOUND ASPIRATIONS OF LIFE AND FREEDOM, JUSTICE AND UNBOUND HOPE. THESE ASPIRATIONS ARE WHY OUR FOREBEARS SAW AMERICA AS A BEACON OF HOPE. AND WITH YOUR STEADY GUIDANCE, LORD, MAY WE REMAIN SO TODAY. IN EVERY GENERATION WE ARE CALLED TO RENEW THESE ASPIRATIONS, TO RE-WEAVE THE FABRIC OF AMERICA. WE DO SO WHEN WE LIVE OUT THE VIRTUES THAT DWELL IN OUR HEARTS BUT ALSO WHEN WE CONFRONT OUR FAILURES TO ROOT OUT ONGOING INJUSTICES IN OUR NATIONAL LIFE ESPECIALLY THOSE CREATED BY MORAL BLINDNESS AND FEAR OF THE OTHER. WE PRAY FOR PEACE, ESPECIALLY FOR A PEOPLE SUFFERING THE SENSELESSNESS OF WAR. BUT AS WE PRAY WE MUST ALSO ACT FOR BUILDING UP THE COMMON GOOD TAKES WORK. IT TAKES LOVE. AND SO WE PRAY, MAY OUR NATION BECOME MORE FULLY A BUILDER OF PEAS IN OUR WOUNDED WORLD WITH THE COURAGE TO IMAGINE AND PURSUE A LOVING FUTURE TOGETHER. AND MAY WE AS INDIVIDUAL AMERICANS BECOME MORE FULLY THE INSTRUMENT OF GOD'S PEACE. GUIDE US, LORD IN TAKING UP OUR RESPONSIBILITY TO FORGE THIS NEW CHAPTER OF OUR NATIONS HISTORY. LET IT BE ROOTED IN THE RECOGNITION THAT FOR US, AS FOR EVERY GENERATION, UNITY TRIUMPHING OVER DIVISION IS WHAT ADVANCES HUMAN DIGNITY AND LIBERTY. LET IT BE PROPELLED BY THE WOMEN AND MEN ELECTED TO SERVE IN PUBLIC LIFE WHO KNOW THAT SERVICE IS THE MARK OF TRUE LEADERSHIP. AND LET THIS NEW CHAPTER OF OUR NATIONS HISTORY BE FILLED WITH OVERWHELMING HOPE, A HOPE THAT REFUSES TO NARROW OUR NATIONAL VISION BUT RATHER, AS POPE FRANCIS HAS SAID, TO DREAM DREAMS AND SEE VISIONS OF WHAT, BY YOUR GRACE, OUR WORLD CAN BECOME. WE ASK ALL OF THIS, TRUSTING IN YOUR EVER PROVIDENT CARE FOR US, AMEN.",362,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Zach Pahmahmie,Democratic,2024,1,00:09:45,"HERE WE ARE TOGETHER ON OUR ANCESTRAL HOMELANDS. WE ALSO HONOR THE SPIRIT OF THE OTHER TRIBAL NATIONS THAT TRAVELED WESTWARD TO THIS BEAUTIFUL AREA. WELL COME, 2024 DEMOCRATIC NATIONAL CONVENTION, TO OUR HOMELANDS. THIS LAND HAS AND ALWAYS WILL CARRY IN NORMA'S IMPORTANCE TO ITS ORIGINAL STEWARDS, OUR ANCESTORS AND OUR PRESENT-DAY COMMUNITIES. I AM VICE CHAIRMAN OF THE PRAIRIE BAND POTTAWATOMIE NATION AND I'M JOINED BY THE SECRETARY. AND OUR NATIONS TRIBAL COUNCIL IS ALSO WITH US IN THE AUDIENCE. FROM TIME IN MEMORIAL OUR ANCESTORS LIVED IN THE GREAT LAKES REGION HOWEVER, IN 1849 AND IN LEGAL AUCTION BY THE U.S. GOVERNMENT FORCIBLY REMOVED OUR TRIBE FROM OUR HOMELAND. SINCE THEN WE HAVE BEEN WORKING TO RECLAIM IT. FINALLY, THIS YEAR, THE DEPARTMENT OF THE INTERIOR PLACED SOME OF OUR ANCESTRAL LANDS WEST OF CHICAGO INTO A TRUST. THANKS TO THE RESOLVE OF OUR TRIBAL COMMUNITY AND THE BIDEN-HARRIS ADMINISTRATION, WE RECLAIMED A PIECE OF OUR HOME. WE BECAME THE ONLY FEDERALLY RECOGNIZED TRIBAL NATION IN ILLINOIS IN 175 YEARS. TOGETHER, IN OUR HOMELANDS, LET'S HAVE A JOYFUL AND HISTORIC CONVENTION. BLESSINGS TO YOU ALL. BE RICH.",190,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Brandon Johnson,Democratic,2024,1,00:16:39,"WELCOME TO THE GREATEST CITY IN THE WORLD, CHICAGO! WHERE IDA B WELLS AND JAMES ADAMS ORGANIZED TO DELIVER REAL TRANSFORMATIVE CHANGE ACROSS THIS COUNTRY. CHICAGO WHERE REVEREND JESSE JACKSON UNITED PEOPLE FROM ALL DIFFERENT BACKGROUNDS TO KEEP HOPE ALIVE. AND TO A COMMUNITY ORGANIZER ON THE SOUTH SIDE OF CHICAGO, BARACK OBAMA ROSE TO THE WHITE HOUSE REMINDING US THAT YES, WE CAN. AND NOW CHICAGO, THIS CITY OF HARD WORK AND CARING PEOPLE IS WHERE DEMOCRATS WILL CELEBRATE PRESIDENT JOE BIDEN AND NOMINATE KAMALA HARRIS FOR PRESIDENT OF THE UNITED STATES OF AMERICA. AS THE SON OF A FAMILY THAT WORKED TO MAKE ENDS MEET, I KNOW THAT KAMALA HARRIS, THE DAUGHTER OF A MOM WHO WORKED HARD EVERY SINGLE DAY. SHE IS GOING TO LOOK OUT FOR THE INTERESTS OF EVERYDAY PEOPLE. I KNOW, THAT AS A FELLOW FORMER SOCIAL STUDIES HISTORY THAT GOVERNOR TIM WALZ WILL NOT RETREAT FROM STANDING UP FOR OUR DEMOCRACY AND FOR THOSE MOST IN NEED. AND AS A BLACK MAN, RAISING A LITTLE BLACK GIRL ON THE WEST SIDE OF CHICAGO, I KNOW THAT MY DAUGHTER BRADEN WILL SEE NOT ONLY A REFLECTION OF HERSELF IN THE WHITE HOUSE BUT SHE WILL EXPERIENCE THE DEEPEST PART OF AMERICAN VALUES. THINK ABOUT IT -- WHAT WILL IT TAKE TO BUILD THE MIDDLE CLASS AND MAKE IT EASIER FOR FAMILIES, NOT ONLY TO GET BY, BUT TO GET AHEAD? IT WILL TAKE SOMEONE WITH TOUGHNESS TO STAND UP FOR US AND LET ME TELL YOU, AMERICA, KAMALA'S HAS GOT IT. WHAT WILL IT TAKE TO DEFEND OUR FUNDAMENTAL RIGHTS AND OUR FREEDOM? IT WILL TAKE SOMEONE WITH LEADERSHIP WHO WILL FIGHT FOR US AND LET ME TELL YOU, AMERICA, LEADERSHIP -- KAMALA, SHE HAS GOT IT! AND WHAT WILL IT TAKE TO DEFEAT MAGA REPUBLICANS AND MOVE OUR COUNTRY FORWARD AND NOT AWKWARD? IT WILL--AND NOT BACKWARD? IT WILL TAKE EVERYONE AND LET ME TELL YOU ALL, KAMALA --SHE HAS GOT US! FROM MISSISSIPPI TO PENNSYLVANIA, FROM DELAWARE, KAMALA HARRIS, SHE HAS GOT US. FROM MICHIGAN TO WISCONSIN TO NEVADA TO CALIFORNIA AND RIGHT HERE IN ILLINOIS, KAMALA HARRIS, SHE HAS GOT US! FROM THE CHILDCARE WORKERS, KAMALA HARRIS, SHE HAS US. AND TO MAKE SURE THAT THIS COUNTRY ENSURES THAT FAMILIES WILL HAVE ACCESS TO REAL, AFFORDABLE HOUSING TO CREATE A PATHWAY TO THE AMERICAN DREAM -- KAMALA HARRIS, SHE HAS GOT US. TOGETHER WE CAN BUILD A BETTER, BRIGHTER FUTURE AND THERE IS NO BETTER PLACE TO START THAT THEN RIGHT HERE IN THE GREATEST FREAKING CITY OF THE WORLD, THE CITY OF CHICAGO. GOD BLESS YOU ALL. THANK YOU.",439,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Jaime Harrison,Democratic,2024,1,00:22:44,"HELLO, MY FRIENDS! MY FELLOW DEMOCRATS, I STARTED MY JOURNEY TO THIS STAGE IN 1988. I WAS 12 YEARS OLD, AND MY FAMILY WAS WATCHING THE DEMOCRATIC NATIONAL CONVENTION. NOW, TO BE HONEST, I WANTED TO WATCH SOMETHING ELSE. BUT WE ALL KNEW WHEN MY GRANDFATHER SAT IN HIS CHAIR, THE TV WAS HIS. BUT FOLKS, WHEN REVEREND JESSE JACKSON CAME ON, I PAID ATTENTION. A BLACK MAN FROM SOUTH CAROLINA RAISED BY A SINGLE MOTHER, THAT WAS ME. AND AS LONG AS I LIVE, I WILL NEVER FORGET WHAT HE SAID. HE CHALLENGED YOUNG PEOPLE TO HOPE AND TO DREAM. SO THAT IS EXACTLY WHAT I DID. I DREAMED BIG. I WORKED HARD. AND I NEVER LOST HOPE. WHEN OUR POWER WAS CUT OFF. WHEN THERE WAS NOTHING IN THE FRIDGE. WHEN WE LOST OUR HOME TO A CON MAN, I NEVER LOST HOPE. AND NOW, MY FRIENDS, I AM STANDING ON THE SAME CONVENTION STAGE THAT INSPIRED ME AND I AM THE CHAIR OF THE DEMOCRATIC PARTY, THE WORLD'S OLDEST POLITICAL PARTY. FOLKS, ONLY IN AMERICA! AND THAT IS THE BEAUTIFUL THING ABOUT THIS COUNTRY THAT I LOVE SO MUCH. HOPE AND HARD WORK CAN TAKE YOU ANYWHERE. YOU CAN GO TO COLLEGE. YOU CAN START YOUR OWN BUSINESS. YOU CAN EVEN WIN THE OLYMPICS. THAT IS THE AMERICA DEMOCRATS BELIEVE IN AND THAT IS THE AMERICA THAT DEMOCRATS ARE FIGHTING FOR. SO, FOUR YEARS AGO, MY FRIENDS, WE WERE A COUNTRY DIVIDED BY FEAR. AND WE WERE STUCK UNDER A MAN WHO PREACHED BIGOTRY AND HATRED. HOPE WAS LOST. BUT, MY FRIENDS, WE FOUND HOPE IN PRESIDENT BIDEN AND VICE PRESIDENT HARRIS AND THE 80 MILLION AMERICANS WHO STOOD BY THEIR SIDE. AND NOW WE ARE UNITED. WE ARE UNITED IN OUR PURSUIT OF PROGRESS BECAUSE, MY FRIENDS, THEY SAW US. THEY FOUGHT FOR US. THEY HEARD US. AND UNDER THEIR TRANSFORMATIONAL LEADERSHIP, WE HAVE FORGIVEN MILLIONS IN STUDENT LOANS, WE HAVE EXPANDED ACCESS TO HEALTH CARE AND WE HAVE STRENGTHENED THE MIDDLE CLASS. BUT THE FIGHT CONTINUES. AND THERE IS STILL MORE WORK TO DO. AND I KNOW THAT WHEN WE ELECT KAMALA HARRIS AND TIM WALZ, THEY WILL BUILD ON OUR ACCOMPLISHMENTS AND THEY WILL CREATE A COUNTRY THAT WORKS FOR EVERY AMERICAN. THEY WILL INVEST IN OUR DREAMS AND OUR FUTURES AND HOPE WILL LIGHT OUR PATH FORWARD. THEY WILL LEAD US IN THE FIGHT FOR AMERICA AND BELIEVE ME, WHEN WE FIGHT, WE WIN! AND FOLKS, WE CAN NEVER FORGET WHO WE ARE FIGHTING FOR. THIS ELECTION IS ABOUT AMERICANS WHO ARE WATCHING RIGHT NOW WONDERING, WHO IS GOING TO FINALLY PAVE THAT DIRT ROAD? OR MAKE IT EASIER TO FEED THEIR FAMILY OR GET MEDICAL BILLS UNDER CONTROL? THIS ELECTION IS ABOUT THOSE WHO BELIEVE ANYBODY CAN ACHIEVE THEIR DREAMS IF THEY WORK HARD AND TRUST IN THE ENDLESS POSSIBILITIES OF AMERICA. THIS ELECTION IS ABOUT COMMUNITIES WHO NEED TO SEE THAT HOPE AND JOY WILL ALWAYS OVERCOME FEAR AND CHAOS. THIS ELECTION IS ABOUT EVERY LITTLE BOY INSPIRED BY A PARTY CHAIR THAT LOOKS LIKE HIM AND EVERY LITTLE GIRL WHO WILL FINALLY SEE A PRESIDENT WHO LOOKS LIKE HER. MY FRIENDS, WE ARE PAVING A PATH FOR THEM, WORKING TOWARD A BRIGHTER FUTURE FOR THEM, AND WE NEED EACH AND EVERY ONE OF YOU TO JOIN US. IN MY BELOVED HOME STATE OF SOUTH CAROLINA, OUR MOTTO IS ""WHILE I BREATHE, I HOPE."" FOLKS, I BELIEVE IN THE POWER OF HOPE, BUT IT WILL TAKE MORE THAN HOPE TO WIN THIS ELECTION. IN THE NEXT 78 DAYS, OUR MOTTO CAN'T BE JUST ""WHILE I BREATHE, I HOPE."" IT MUST BE ""WHILE I BREATHE, I VOTE."" BECAUSE THAT IS HOW WE MAKE HOPE REAL FOR ALL OF AMERICA. AMERICA, LET'S VOTE FOR DEMOCRATS UP AND DOWN THE TICKET, LET'S SAVE OUR DEMOCRACY, AND LET'S VOTE FOR OUR M.V.P. KAMALA HARRIS, AND OUR COACH TIM WALZ. THANK YOU ALL SO MUCH FOR BEING HERE. AND NOW, IT IS INDEED MY PLEASURE TO INTRODUCE OUR NEXT SPEAKER WHO WILL BE CO-CHAIR FOR TONIGHT. THIS IS A YOUNG WOMAN WHO IS THE CURRENT LIEUTENANT GOVERNOR OF THE GREAT STATE OF MINNESOTA. AND WHEN TIM WALZ BECOMES VICE PRESIDENT, SHE WILL BECOME THE FIRST NATIVE AMERICAN GOVERNOR IN THIS GREAT COUNTRY. LET'S WELCOME PEGGY FLANAGAN.",720,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Peggy Flanagan,Democratic,2024,1,00:28:41,"THANK YOU. AS WE GATHER HERE, WE REMEMBER THOSE WHO CAME BEFORE US, WHO FOUGHT AND PRAYED THIS MOMENT INTO EXISTENCE — THE SUFFRAGISTS AND ABOLITIONISTS, THE ACTIVISTS WHO FOUGHT FOR OUR RIGHTS, THE LEADERS WHO PAVED THE WAY FOR US ALL. THEIR COURAGE AND CONVICTION SHAPED THE COURSE OF HISTORY. THEIR MEMORY REMINDS US THAT THE FIGHT FOR FREEDOM ALWAYS PASSES FROM ONE GENERATION TO THE NEXT. WE OWE IT TO THEM AND TO OURSELVES TO CARRY THEIR LEGACY FORWARD. TONIGHT, WE PAY TRIBUTE TO THOSE WHO DARE TO DREAM OF A COUNTRY THAT TRULY STANDS FOR LIBERTY AND JUSTICE FOR ALL. NEXT, WE WILL HEAR FROM ONE OF THOSE PEOPLE, A LIFELONG ADVOCATE FOR CIVIL RIGHTS, MAXINE WATERS.",120,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Maxine Waters,Democratic,2024,1,00:30:04,"WOW. HELLO DELEGATES. YOU KNOW I'VE SEEN A LOT IN MY LIFETIME. I WAS JUST 22 YEARS OLD WHEN FANNIE LOU MADE HER PRESENCE KNOWN AT ANOTHER DEMOCRATIC CONVENTION. IT WAS IN 1964 IN ATLANTIC CITY, AND SHE ARRIVED WITH A GROUP OF BLACK DELEGATES FROM MISSISSIPPI. AND SHE SIMPLY ASKED THAT HER DELEGATES BE SEATED IN PLACE OF THE STATES ALL WHITE DELEGATION. SHE TOLD THE PEOPLE IN THE ROOM ABOUT THE VIOLENCE SHE SUFFERED AT THE HANDS OF WHITE POLICE, BECAUSE SHE, A BLACK WOMAN, HAD DEMANDED HER RIGHT TO VOTE. WHEN SHE FINISHED, SHE FINISHED, SHE ASKED THE COUNTRY A SIMPLE BUT PROFOUND QUESTION. IS THIS AMERICA? SHE DIDN'T GET THE OUTCOME SHE WAS HOPING FOR IN ATLANTIC CITY, BUT YOU CAN BET THAT WENDY OFFICIAL -- WHEN THE OFFICIAL MISSISSIPPI DELEGATION WAS SEATED AT THE CONVENTION FOUR YEARS LATER, SHE WAS SITTING THERE. NOW HERE WE ARE 60 YEARS LATER AT ANOTHER DEMOCRATIC CONVENTION WITH KAMALA HARRIS, KAMALA HARRIS AS OUR PARTY'S NOMINEE. I KNOW THERE IS NO BETTER LEADER TO MARCH US INTO THE FUTURE. KAMALA HAS BEEN A COURTROOM PROSECUTOR, DISTRICT ATTORNEY, ATTORNEY GENERAL, UNITED STATES SENATOR, VICE PRESIDENT OF THE UNITED STATES. AND WHEN THE DUST SETTLES IN NOVEMBER AND AMERICANS OF ALL STRIPES HAVE ELECTED HER THEIR PRESIDENT, I KNOW SHE WILL BE THINKING ABOUT FANNIE LOU, WHO I HAPPEN TO KNOW IS ONE OF KAMALA 'S HEROES. IN THAT MOMENT, ALL OF US FROM NEW YORK, TO PENNSYLVANIA, TO ARIZONA, TO CALIFORNIA -- WE CAN ASK OURSELVES IS THIS AMERICA? AND WE WILL BE ABLE TO SAY LOUDLY AND PROUDLY, YOU'RE DAMN RIGHT IT IS!",274,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Derrick Johnson,Democratic,2024,1,00:33:46,"GOOD EVENING. I AM DERRICK JOHNSON, PRESIDENT AND CEO OF THE NAACP. AND I'M HERE TO DO MY BLACK JOB. SINCE THE FOUNDING OF OUR NATION, WE HAVE BEEN ON AN UNENDING MARCH TO PROTECT THIS IMPERFECT UNION. TONIGHT, WE CELEBRATE THE POWER OF THE COLLECTIVE — OF WHAT IS POSSIBLE WHEN WE ARE ALL IN FOR ALL PEOPLE. BUT AS WE DO, LET US NOT FORGET THE HISTORY THAT PRECEDED THIS MOMENT, OR THE HISTORY MAKERS WHO PREPARED US FOR IT. AS WE JUST HEARD, IN 1964, THE MISSISSIPPI FREEDOM DEMOCRATIC PARTY, LED BY FANNIE LOU HAMER AND MISSISSIPPI NAACP STATE PRESIDENT AARON HENRY, STOOD AND CHALLENGED A PROCESS THAT EXCLUDED THEM TO ENSURE THAT WE WILL ALL BE RECOGNIZED HERE TONIGHT. IN 1973, THE HISTORIC ELECTIONS OF ATLANTA'S MAYOR MAYNARD JACKSON, DETROIT'S MAYOR COLEMAN YOUNG, AND L.A.'S MAYOR PAVED THE WAY FOR ANOTHER HISTORIC ELECTION JUST 10 YEARS LATER RIGHT HERE IN CHICAGO WITH THE ELECTION OF THE FIRST BLACK MAYOR OF THE CITY OF CHICAGO. AND IN 1988, THE REVEREND JESSE JACKSON AND HIS SECOND QUEST FOR THE WHITE HOUSE INSPIRED US ALL TO KEEP HOPE ALIVE. SO THIS IS IMPORTANT BECAUSE WE MUST ALL UNDERSTAND BLACK HISTORY IS AMERICAN HISTORY. AND IN THIS HISTORIC MOMENT, WE WILL WRITE THE NEXT CHAPTER TOGETHER.",216,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Melanie Campbell,Democratic,2024,1,00:36:11,"GOOD EVENING. I AM MELANIE CAMPBELL, PRESIDENT AND CEO OF THE NATIONAL COALITION ON BLACK CIVIC PARTICIPATION AND NATIONAL CONVENE ARE OF THE BLACK WOMEN'S ROUNDTABLE. WE HAVE COME THIS FAR BY FAITH. AND FOR BLACK WOMEN, THIS MOMENT HAS BEEN A LONG TIME COMING. VICE PRESIDENT KAMALA HARRIS' PATH TO BECOMING THE DEMOCRATIC NOMINEE FOR PRESIDENT OF THE UNITED STATES HAS BEEN PAVED BY THE LEADERSHIP, SACRIFICE, FAITH AND PARTICIPATION OF BLACK WOMEN LIKE DIANE NASH, ELLA BAKER, AMELIA BOYNTON ROBINSON, BARBARA JORDAN, SHIRLEY CHISHOLM, WOMEN WHOSE OPTIMISM ABOUT WHAT AMERICA COULD BE AND THEIR FIGHT TO MAKE THAT VISION REAL REDEFINES THE LEADERSHIP ROLE THAT BLACK WOMEN COULD PLAY IN MOVING OUR NATION FORWARD. AS PRESIDENT, KAMALA HARRIS WILL LEAD WITH POWER, BRILLIANCE, AND STRENGTH FROM THE HIGHEST OFFICE IN THE LAND.",134,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
